unit,calendar_context,rows,products,positive_rate,mean_daily_demand,median_daily_demand,total_demand,ordinary_positive_rate,ordinary_mean_daily_demand,positive_rate_ratio_vs_ordinary,mean_demand_ratio_vs_ordinary
ADT,ordinary_day,93288,393,0.3174577652002401,1.1317104021953521,0.0,105575.0,0.3174577652002401,1.1317104021953521,1.0,1.0
ADT,post_holiday_3d,20281,398,0.32232138454711307,1.090281544302549,0.0,22112.0,0.3174577652002401,1.1317104021953521,1.0153205241138303,0.9633927038114724
ADT,pre_holiday_3d,19847,397,0.34786113770343124,1.28850707915554,0.0,25573.0,0.3174577652002401,1.1317104021953521,1.095771393350589,1.1385484101374568
ADT,public_holiday,13244,398,0.33977650256720027,1.2299154334038056,0.0,16289.0,0.3174577652002401,1.1317104021953521,1.0703045879280426,1.0867757608465471
ADT,ramadan_nonholiday,21224,363,0.35634187712024123,1.607943837165473,0.0,34127.0,0.3174577652002401,1.1317104021953521,1.122485937288302,1.4208085690882561
ADT,religious_special_day,2700,346,0.3359259259259259,1.1577777777777778,0.0,3126.0,0.3174577652002401,1.1317104021953521,1.0581751739921585,1.0230336095982318
ADT,school_midterm_break,5994,303,0.3465131798465132,1.3740407073740406,0.0,8236.0,0.3174577652002401,1.1317104021953521,1.0915252919642588,1.214127487658153
ADT,school_semester_break,11803,331,0.3721935101245446,1.4028636787257478,0.0,16558.0,0.3174577652002401,1.1317104021953521,1.1724189826945304,1.2395959920527355
ADT,school_summer_break,41843,364,0.33993738498673615,1.1710680400544895,0.0,49001.0,0.3174577652002401,1.1317104021953521,1.0708113716239285,1.0347771283031324
ADT,weekend_nonholiday,33441,392,0.39427648694716066,1.6175054573726861,0.0,54091.0,0.3174577652002401,1.1317104021953521,1.2419809189372522,1.4292573914978275
KG,ordinary_day,81419,313,0.3872191994497599,1.3819747233446737,0.0,112519.0,0.3872191994497599,1.3819747233446737,1.0,1.0
KG,post_holiday_3d,17320,313,0.3793879907621247,1.4208397228637413,0.0,24608.944,0.3872191994497599,1.3819747233446737,0.9797757737768081,1.0281228005567322
KG,pre_holiday_3d,16788,310,0.41994281629735525,1.8438561472480344,0.0,30954.657,0.3872191994497599,1.3819747233446737,1.084509282840561,1.3342184311341883
KG,public_holiday,11284,311,0.40012406947890816,2.0391754696915987,0.0,23010.056,0.3872191994497599,1.3819747233446737,1.0333270407239261,1.4755519296014032
KG,ramadan_nonholiday,18152,264,0.44793962097840456,2.1889219920669896,0.0,39733.312,0.3872191994497599,1.3819747233446737,1.1568114949231045,1.5839088480354628
KG,religious_special_day,2478,279,0.40153349475383376,1.4250270379338177,0.0,3531.217,0.3872191994497599,1.3819747233446737,1.0369669048549621,1.0311527511045557
KG,school_midterm_break,5185,240,0.43702989392478303,1.9253716489874637,0.0,9983.052,0.3872191994497599,1.3819747233446737,1.1286369439991724,1.3932032304669462
KG,school_semester_break,10873,252,0.443024004414605,1.6293140807504827,0.0,17715.532,0.3872191994497599,1.3819747233446737,1.1441168336801066,1.1789753120861681
KG,school_summer_break,36234,269,0.37638681900976984,1.4866311199425952,0.0,53866.592,0.3872191994497599,1.3819747233446737,0.9720251979876439,1.0757296025969496
KG,weekend_nonholiday,29157,313,0.47223651267277156,1.9476462599032822,0.0,56787.522,0.3872191994497599,1.3819747233446737,1.2195586203985278,1.4093211887331503
