unit,fold,train_end,validation_start,validation_end,train_rows,validation_rows,threshold,occurrence_pr_auc,occurrence_precision,occurrence_recall,occurrence_f1,occurrence_brier,occurrence_positive_prediction_rate,quantity_mae,quantity_rmse,quantity_wape,quantity_bias
KG,1,2025-11-11,2025-11-19,2025-12-30,159783,7403,0.4699999999999999,0.8552744768962164,0.7174851592012952,0.8712319790301442,0.7869192068659366,0.13393227614678666,0.5006078616776982,1.3173901640110697,3.8346001296054717,0.7634779734506784,0.1661445347101919
KG,2,2026-01-06,2026-01-14,2026-02-24,169707,6062,0.5299999999999999,0.872143792983004,0.7682403433476395,0.8114846996599925,0.7892706228182987,0.13341035363592996,0.4612339161992742,1.6462593578271405,21.950252386152634,0.7543067189451739,-0.12469508240534527
KG,3,2026-03-03,2026-03-11,2026-04-21,178138,7043,0.4499999999999999,0.8526262682755577,0.7086283766063467,0.875,0.7830749166787422,0.1419335494453268,0.5413886128070424,1.8290045610252135,10.21335592440074,0.8299919958287114,0.053854169668540196
ADT,1,2025-11-11,2025-11-19,2025-12-30,178926,8180,0.49999999999999994,0.7233083727241769,0.603671706263499,0.7377103266248762,0.6639940608760208,0.18512650434118386,0.4528117359413203,1.2749107125350863,2.3979844534942445,1.0156573459813991,0.39916905810567627
ADT,2,2026-01-06,2026-01-14,2026-02-24,189787,7004,0.4699999999999999,0.7119318879927338,0.5850710184345724,0.7524290711232025,0.6582794967698062,0.18475860168014954,0.4724443175328384,1.4278519377388514,3.4517677349357516,1.0634490612423346,0.43729730648046417
ADT,3,2026-03-03,2026-03-11,2026-04-21,199649,8713,0.48999999999999994,0.6760125634017101,0.5659128516271373,0.7110187110187111,0.6302211302211302,0.18239060293445036,0.41615976127625387,1.1856898271592444,2.3966496422807895,1.1824328103512072,0.40517635443174504
