unit,feature_set,feature_count,occurrence_model,quantity_model,threshold,occurrence_pr_auc,occurrence_precision,occurrence_recall,occurrence_f1,occurrence_brier,occurrence_positive_prediction_rate,quantity_mae,quantity_rmse,quantity_wape,quantity_bias
KG,full_calendar,47,extra_trees,hist_gradient_boosting_poisson,0.4599999999999999,0.8647827660712948,0.7236339697169191,0.8657844990548205,0.7883525783547299,0.13740970007299227,0.5308219178082192,1.809554203712025,16.19553707433933,0.7988387848612161,-0.06662468310577803
KG,special_calendar_removed,29,extra_trees,hist_gradient_boosting_poisson,0.48999999999999994,0.8631878005818332,0.7401552967276761,0.8408947700063012,0.7873156342182891,0.13753929820211805,0.5040536762650265,1.8010404656248047,16.212077592405013,0.7950803430448448,-0.14090222252104423
ADT,full_calendar,47,hist_gradient_boosting,hist_gradient_boosting_poisson,0.4699999999999999,0.6887240732753952,0.5571500503524672,0.7502966604509239,0.6394567651520624,0.18705143361980453,0.46293706293706294,1.3625358599876558,3.209169368954868,1.1609869088528812,0.5004837952958335
ADT,special_calendar_removed,29,hist_gradient_boosting,hist_gradient_boosting_poisson,0.48999999999999994,0.6862092402001819,0.5621586475942782,0.7328360739108324,0.6362499080138347,0.1890851928596562,0.44813519813519814,1.3356280803660336,3.0399604478164752,1.1380593802612413,0.4372296468179373
