product_id,product_name,unit,first_sale,last_sale,positive_sales_days,total_quantity,median_positive_quantity,history_days,active_ratio,days_since_last_sale,current_status,segment
10002822,LEZITA PILIC KALCALI BUT KG,KG,2023-01-01,2026-07-21,1077,4739.738,3.688,1298,0.8297380585516179,0,active,continuous
10002828,$BANVIT PILIC BUT SARMA DERILI KG 177,KG,2024-01-04,2024-01-04,1,0.108,0.108,1,1.0,929,possibly_inactive,new_short_history
10002835,LEZITA PILIC KELEBEK KG,KG,2023-02-02,2026-07-21,251,800.738,2.12,1266,0.19826224328593997,0,active,intermittent
10002836,LEZITA PILIC BABY TAVA BONFILE KG,KG,2023-01-01,2026-07-17,1058,4744.876,3.848,1294,0.8176197836166924,4,active,continuous
10002841,BANVIT P.TAB.KALCALI BUT KG,KG,2023-01-06,2026-07-21,535,1590.144,2.388,1293,0.4137664346481052,0,active,intermittent
10002843,LEZITA PILIC IZGARA TAVA KG,KG,2023-01-01,2026-07-21,1162,6432.406,4.899,1298,0.8952234206471494,0,active,continuous
10002844,$ORVITAL ORGANIK PILIC KG DONUK,KG,2023-01-01,2024-09-25,248,638.658,2.01,634,0.3911671924290221,664,possibly_inactive,possibly_inactive
10002850,BANVIT P.TAB.CIGER KG,KG,2023-01-01,2026-07-03,447,1319.33,2.674,1280,0.34921875,18,active,intermittent
10002855,BANVIT P.TAB.PIRZOLA KG SOSLU,KG,2025-08-31,2025-09-08,7,15.994,1.054,9,0.7777777777777778,316,possibly_inactive,new_short_history
10002856,LEZITA PILIC BAGET KG,KG,2023-01-01,2026-07-21,1154,6681.942,4.5969999999999995,1298,0.889060092449923,0,active,continuous
10002862,BANVIT P.TAB.BABY TAVA BONFILE KG,KG,2023-06-26,2026-07-20,294,1084.596,2.92,1121,0.2622658340767172,1,active,intermittent
10002867,$KESKIN.P.TAB.KALCALI BUT KG,KG,2023-08-27,2023-08-27,1,0.506,0.506,1,1.0,1059,possibly_inactive,new_short_history
10002873,LEZITA PILIC PIRZOLA KG,KG,2023-01-01,2026-07-21,1169,7153.966,5.272,1298,0.9006163328197226,0,active,continuous
