product_id,product_name,unit,first_sale,last_sale,active_sales_days,total_quantity,mean_positive_quantity,median_positive_quantity,max_positive_quantity,history_days,active_ratio,days_since_last_sale,segment
11345637,BOLEZ P.TAB.BOLUNMUS KANAT KG,KG,2023-01-01,2026-07-19,701,2547.118,3.633549215406562,2.834,32.754,1296,0.5408950617283951,2,continuous
11345638,BOLEZ P.TAB.IZGARA TAVA KG,KG,2023-01-01,2026-07-19,764,2251.384,2.9468376963350784,2.462,18.732,1296,0.5895061728395061,2,continuous
11345972,BOLEZ P.KOYLUM POSET BUTUN KG,KG,2023-01-02,2026-07-21,883,5921.957,6.706633069082673,5.528,27.478,1297,0.6808018504240555,0,continuous
11375427,A.IPEK SUCUK DANA FERMENTE 280 G,ADT,2026-05-24,2026-07-19,32,45.0,1.40625,1.0,4.0,57,0.5614035087719298,2,continuous
11376654,BANVIT P.SOSIS JUMBO 330 G,ADT,2023-03-18,2026-07-20,883,2416.0,2.736126840317101,2.0,18.0,1221,0.7231777231777232,1,continuous
11387730,$PINAR SOSIS HINDI AC BITIR 130 G,ADT,2023-01-02,2024-07-14,315,785.0,2.492063492063492,2.0,9.0,560,0.5625,737,possibly_inactive
11393509,$POLONEZ SOSIS DANA BARBEKU 500 G,ADT,2023-01-01,2024-10-13,89,106.0,1.1910112359550562,1.0,3.0,652,0.13650306748466257,646,possibly_inactive
11393510,$POLONEZ PASTIRMA DILIMLI CEMENSIZ KG,KG,2023-01-01,2024-08-06,107,112.294,1.0494766355140186,0.9,3.448,584,0.1832191780821918,714,possibly_inactive
11402330,POLONEZ FUME KABURGA ETI 200 G PKT,ADT,2023-01-06,2026-07-04,206,279.0,1.354368932038835,1.0,13.0,1276,0.1614420062695925,17,intermittent
11406716,$YAYLATURK JAMBON HINDI KG,KG,2024-02-01,2024-02-01,1,0.208,0.208,0.208,0.208,1,1.0,901,new_short_history
11414298,DANA DRY AGED T-BONE STEAK KG,KG,2023-01-19,2026-07-15,161,117.932,0.7324968944099379,0.56,2.932,1274,0.12637362637362637,6,intermittent
11414299,DANA DRY AGED DALLAS STEAK KG,KG,2023-01-09,2026-07-15,329,308.047,0.9363130699088147,0.672,9.638,1284,0.2562305295950156,6,intermittent
11414301,DANA DRY AGED NEWYORK STEAK KG,KG,2023-01-07,2026-06-13,66,39.414,0.5971818181818183,0.482,1.594,1254,0.05263157894736842,38,sparse
11414303,DANA DRY AGED PIRZOLA KG,KG,2023-01-06,2026-06-21,14,14.586,1.0418571428571428,0.981,1.68,1263,0.011084718923198733,30,sparse
11507973,$POLONEZ SUCUK DANA 200 G,ADT,2023-01-02,2024-10-22,193,504.0,2.61139896373057,1.0,24.0,660,0.2924242424242424,637,possibly_inactive
11507974,$POLONEZ SUCUK DANA 200 G ACILI,ADT,2023-01-05,2023-05-25,11,11.0,1.0,1.0,1.0,141,0.07801418439716312,1153,possibly_inactive
11525698,MARET SUCUK BONCUK FERMENTE 220 G,ADT,2023-01-19,2026-07-21,146,180.0,1.2328767123287672,1.0,3.0,1280,0.1140625,0,intermittent
11552083,DANA CIKINTI YAG KG,KG,2024-04-17,2026-02-20,2,1742.2,871.1,871.1,1673.2,675,0.002962962962962963,151,possibly_inactive
11559593,LEZITA PIL.SCHNITZEL 700 G,ADT,2023-01-01,2026-07-21,762,1446.0,1.8976377952755905,1.0,8.0,1298,0.5870570107858244,0,continuous
