unit,calendar_context,rows,products,actual_positive_rate,occurrence_pr_auc,occurrence_precision,occurrence_recall,occurrence_f1,occurrence_brier,occurrence_positive_prediction_rate,quantity_mae,quantity_rmse,quantity_wape,quantity_bias
KG,public_holiday,1325,166,0.45132075471698113,0.8369546880554145,0.7104895104895105,0.8494983277591973,0.7738004569687738,0.1499802705663362,0.539622641509434,1.9859855742206864,5.1257174824394465,0.9030016838317823,0.15406292983543032
KG,pre_holiday_3d,1690,171,0.44733727810650886,0.8432454868880219,0.7202643171806168,0.8650793650793651,0.7860576923076923,0.14753956265781337,0.5372781065088758,1.4306472566399389,3.8757436054112273,0.7950716690041278,0.30890447163183915
KG,post_holiday_3d,1893,168,0.4051769677760169,0.8018897942434811,0.6708203530633438,0.8422425032594524,0.7468208092485549,0.15340768832596574,0.508716323296355,2.0056886042107713,12.86459255546364,0.9276688237289991,-0.20619628483451816
KG,school_break,3850,158,0.4607792207792208,0.8495575761005099,0.7344133529700541,0.8432919954904171,0.7850957753870376,0.14602923293430975,0.5290909090909091,1.7078057724561788,5.253450810507187,0.812233714405612,0.02665390687839605
KG,weekend,3728,168,0.47451716738197425,0.8652032943840006,0.7288135593220338,0.8750706613906162,0.7952735679424608,0.14455070847221788,0.5697424892703863,1.8852529348776041,5.772974565741585,0.855007883295334,0.19132466285780153
KG,ordinary_day,4197,167,0.38908744341196094,0.8110756107718006,0.6615969581749049,0.8524188609920392,0.744982606368745,0.14745904206088156,0.5013104598522754,1.4439871079614939,4.795720787847238,0.9193045150718313,0.2093437028598858
ADT,public_holiday,1714,228,0.31971995332555425,0.6725701748481858,0.5886850152905199,0.7025547445255474,0.6405990016638935,0.17409476512936792,0.38156359393232203,1.1001041023034883,2.211188448139798,1.1365753052128866,0.32258967231015956
ADT,pre_holiday_3d,2133,235,0.34411626816690105,0.6914968543680281,0.5742232451093211,0.6798365122615804,0.6225826575171554,0.18055732764825372,0.4074074074074074,1.1371076682165437,2.1701388898535794,1.1019766725606033,0.33717885275637804
ADT,post_holiday_3d,2544,233,0.30345911949685533,0.6668385215156214,0.5639344262295082,0.6683937823834197,0.6117368109069354,0.16921160448780595,0.3596698113207547,1.0363687165312245,2.084243953932739,1.1759687845028703,0.3239725944230753
ADT,school_break,5195,222,0.30298363811357076,0.6568353349697581,0.5474525474525475,0.6963151207115629,0.6129753914988815,0.17473238965707677,0.3853705486044273,1.1943139816452364,2.6002971066428944,1.13510082960977,0.19576902521906983
ADT,weekend,4990,233,0.350501002004008,0.7156689570322353,0.5734171531207903,0.7301315037164093,0.642354124748491,0.18209086701501395,0.4462925851703407,1.2707897869613212,2.5909160258468145,1.063074775680971,0.32288471045637734
ADT,ordinary_day,5597,228,0.28068608182955157,0.6431284098543774,0.5433070866141733,0.6588160407383832,0.595512082853855,0.16270387586904292,0.340360907629087,0.9504135403075591,1.996944798230309,1.1887071698550633,0.302580642039506
