date,temperature_mean_c,temperature_max_c,precipitation_mm,snowfall_cm,cloud_cover_pct,wind_max_kmh,solar_radiation_mj_m2
2018-04-30,17.8,23.1,0.0,0.0,11.0,8.6,24.83
2018-05-01,17.3,22.6,0.0,0.0,27.0,9.2,25.27
2018-05-02,18.0,23.5,0.0,0.0,66.0,7.0,22.88
2018-05-03,20.7,26.6,0.0,0.0,20.0,9.5,25.05
2018-05-04,19.7,24.4,0.0,0.0,35.0,9.9,23.73
2018-05-05,18.4,21.9,0.0,0.0,71.0,8.8,21.7
2018-05-06,17.2,19.3,5.9,0.0,98.0,5.1,10.49
2018-05-07,16.9,19.3,8.2,0.0,91.0,5.4,11.45
2018-05-08,17.7,20.9,10.1,0.0,91.0,10.7,7.93
2018-05-09,18.2,21.9,8.8,0.0,65.0,10.7,12.69
2018-05-10,18.6,22.4,10.0,0.0,80.0,6.5,17.47
2018-05-11,17.3,19.5,13.2,0.0,70.0,12.8,13.54
2018-05-12,16.5,19.0,3.3,0.0,66.0,15.3,18.82
2018-05-13,15.1,20.3,0.0,0.0,2.0,9.4,28.21
2018-05-14,17.8,24.6,0.0,0.0,3.0,6.7,27.28
2018-05-15,21.2,28.1,0.0,0.0,7.0,6.4,25.99
2018-05-16,23.5,31.1,0.2,0.0,43.0,12.8,23.64
2018-05-17,24.1,29.1,0.8,0.0,67.0,8.3,21.45
2018-05-18,23.9,28.4,0.0,0.0,83.0,7.5,20.88
